league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,H,24,0.24,0.237,0.2357,0.2373,0.2308,0.2267,0,551565
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,D,1,0.25,0.2476,0.2534,0.2497,0.2555,0.2591,0,185850
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,D,6,0.24,0.2476,0.2534,0.2497,0.2555,0.2591,0,185850
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,D,24,0.24,0.2476,0.2534,0.2497,0.2555,0.2591,0,185850
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,A,1,0.52,0.5154,0.5109,0.513,0.5137,0.5142,1,1124400
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,A,6,0.54,0.5154,0.5109,0.513,0.5137,0.5142,1,1124400
E0,epl-cry-mac-2025-12-14,2025-12-14T14:00:00+00:00,A,24,0.52,0.5154,0.5109,0.513,0.5137,0.5142,1,1124400
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,H,1,0.28,0.2598,0.2868,0.2881,0.2906,0.284,0,912301
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,H,6,0.25,0.2598,0.2868,0.2881,0.2906,0.284,0,912301
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,H,24,0.25,0.2598,0.2868,0.2881,0.2906,0.284,0,912301
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,D,1,0.29,0.2687,0.2776,0.2797,0.2727,0.2761,0,41565
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,D,6,0.28,0.2687,0.2776,0.2797,0.2727,0.2761,0,41565
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,D,24,0.26,0.2687,0.2776,0.2797,0.2727,0.2761,0,41565
